id,severity,description,repository,source,opened_at,closed_at,html_url,line_number,filepath,pattern_internal_id
f6d5f00a-db8a-4682-844a-24550f71947b,Critical,User data flows into the host portion of this manually-constructed HTML. This can introduce a Cross-Site-Scripting (XSS) vulnerability if this comes from user-provided input.,jn-business-system,Codacy,2025-12-20T14:43:26.345Z,2025-12-20T15:06:28.913Z,,78,backend/controllers/supportController.js,Semgrep_javascript.express.security.injection.raw-html-format.raw-html-format
cce66ee8-976d-4f9f-91c2-f09bf49ccbd4,Critical,User data flows into the host portion of this manually-constructed HTML. This can introduce a Cross-Site-Scripting (XSS) vulnerability if this comes from user-provided input.,jn-business-system,Codacy,2025-12-20T14:43:26.345Z,2025-12-20T15:06:28.913Z,,73,backend/controllers/supportController.js,Semgrep_javascript.express.security.injection.raw-html-format.raw-html-format
e2715756-266a-4d63-96b8-ae05ec3169fd,Critical,User data flows into the host portion of this manually-constructed HTML. This can introduce a Cross-Site-Scripting (XSS) vulnerability if this comes from user-provided input.,jn-business-system,Codacy,2025-12-20T14:43:26.345Z,2025-12-20T15:06:28.913Z,,75,backend/controllers/supportController.js,Semgrep_javascript.express.security.injection.raw-html-format.raw-html-format
b95cb13e-454e-4e64-9b61-b94a2037653d,Critical,User data flows into the host portion of this manually-constructed HTML. This can introduce a Cross-Site-Scripting (XSS) vulnerability if this comes from user-provided input.,jn-business-system,Codacy,2025-12-20T14:43:26.345Z,2025-12-20T15:06:28.913Z,,94,backend/controllers/supportController.js,Semgrep_javascript.express.security.injection.raw-html-format.raw-html-format
dd3def3a-c01e-41e0-90d0-f7158d31cd42,Critical,This rule identifies use of cryptographically weak random number generators.,jn-business-system,Codacy,2025-12-20T14:43:26.345Z,2025-12-20T15:06:28.913Z,,265,backend/utils/helpers.js,Semgrep_rules_lgpl_javascript_crypto_rule-node-insecure-random-generator
6879e10e-3a1a-46cc-94d2-620c16bd9f20,Critical,The `RegExp` constructor was called with a non-literal value.,jn-business-system,Codacy,2025-12-20T14:43:26.345Z,2025-12-20T15:06:28.913Z,,79,backend/services/cacheService.js,Semgrep_javascript_dos_rule-non-literal-regexp
023f1c4d-8358-4641-bb4f-38cceeaf23da,Critical,The `RegExp` constructor was called with a non-literal value.,jn-business-system,Codacy,2025-12-20T14:43:26.345Z,2025-12-20T15:06:28.913Z,,336,backend/services/smsTemplates.js,Semgrep_javascript_dos_rule-non-literal-regexp
d64517db-f3bb-46fc-a7d9-232b0b2c734f,Critical,This rule identifies use of cryptographically weak random number generators.,jn-business-system,Codacy,2025-12-20T14:43:26.345Z,2025-12-20T15:06:28.913Z,,26,backend/routes/artistPortfolioRoutes.js,Semgrep_rules_lgpl_javascript_crypto_rule-node-insecure-random-generator
df92de6f-dd6c-4172-99ba-1e6ca465b577,Critical,The `RegExp` constructor was called with a non-literal value.,jn-business-system,Codacy,2025-12-20T14:43:26.345Z,2025-12-20T15:06:28.913Z,,364,backend/services/emailService.js,Semgrep_javascript_dos_rule-non-literal-regexp
8d1b4a46-f44b-4035-9463-c700c617dc50,High,"RegExp() called with a `pattern` function argument, this might allow an attacker to cause a Regular Expression Denial-of-Service (ReDoS) within your application as RegExP blocks the main thread.",jn-business-system,Codacy,2025-12-20T14:43:26.345Z,2025-12-20T15:06:28.913Z,,79,backend/services/cacheService.js,Semgrep_javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp
